,Abstract,Title
10,http://www.nr.com,Numerical recipes in FORTRAN. The art of scientific computing
11,"We present a full-sky 100 μm map that is a reprocessed composite of the COBE/DIRBE and IRAS/ISSA maps, with the zodiacal foreground and confirmed point sources removed. Before using the ISSA maps, we remove the remaining artifacts from the IRAS scan pattern. Using the DIRBE 100 and 240 μm data, we have constructed a map of the dust temperature so that the 100 μm map may be converted to a map proportional to dust column density. The dust temperature varies from 17 to 21 K, which is modest but does modify the estimate of the dust column by a factor of 5. The result of these manipulations is a map with DIRBE quality calibration and IRAS resolution. A wealth of filamentary detail is apparent on many different scales at all Galactic latitudes. In high-latitude regions, the dust map correlates well with maps of H I emission, but deviations are coherent in the sky and are especially conspicuous in regions of saturation of H I emission toward denser clouds and of formation of H<SUB>2</SUB> in molecular clouds. In contrast, high-velocity H I clouds are deficient in dust emission, as expected. To generate the full-sky dust maps, we must first remove zodiacal light contamination, as well as a possible cosmic infrared background (CIB). This is done via a regression analysis of the 100 μm DIRBE map against the Leiden-Dwingeloo map of H I emission, with corrections for the zodiacal light via a suitable expansion of the DIRBE 25 μm flux. This procedure removes virtually all traces of the zodiacal foreground. For the 100 μm map no significant CIB is detected. At longer wavelengths, where the zodiacal contamination is weaker, we detect the CIB at surprisingly high flux levels of 32 +/- 13 nW m<SUP>-2</SUP> sr<SUP>-1</SUP> at 140 μm and of 17 +/- 4 nW m<SUP>-2</SUP> sr<SUP>-1</SUP> at 240 μm (95% confidence). This integrated flux ~2 times that extrapolated from optical galaxies in the Hubble Deep Field. The primary use of these maps is likely to be as a new estimator of Galactic extinction. To calibrate our maps, we assume a standard reddening law and use the colors of elliptical galaxies to measure the reddening per unit flux density of 100 μm emission. We find consistent calibration using the B-R color distribution of a sample of the 106 brightest cluster ellipticals, as well as a sample of 384 ellipticals with B-V and Mg line strength measurements. For the latter sample, we use the correlation of intrinsic B-V versus Mg<SUB>2</SUB> index to tighten the power of the test greatly. We demonstrate that the new maps are twice as accurate as the older Burstein-Heiles reddening estimates in regions of low and moderate reddening. The maps are expected to be significantly more accurate in regions of high reddening. These dust maps will also be useful for estimating millimeter emission that contaminates cosmic microwave background radiation experiments and for estimating soft X-ray absorption. We describe how to access our maps readily for general use.",Maps of Dust Infrared Emission for Use in Estimation of Reddening and Cosmic Microwave Background Radiation Foregrounds
12,"We report measurements of the mass density, Ω<SUB>M</SUB>, and cosmological-constant energy density, Ω<SUB>Λ</SUB>, of the universe based on the analysis of 42 type Ia supernovae discovered by the Supernova Cosmology Project. The magnitude-redshift data for these supernovae, at redshifts between 0.18 and 0.83, are fitted jointly with a set of supernovae from the Calán/Tololo Supernova Survey, at redshifts below 0.1, to yield values for the cosmological parameters. All supernova peak magnitudes are standardized using a SN Ia light-curve width-luminosity relation. The measurement yields a joint probability distribution of the cosmological parameters that is approximated by the relation 0.8Ω<SUB>M</SUB>-0.6Ω<SUB>Λ</SUB>~-0.2+/-0.1 in the region of interest (Ω<SUB>M</SUB>〈~1.5). For a flat (Ω<SUB>M</SUB>+Ω<SUB>Λ</SUB>=1) cosmology we find Ω<SUP>flat</SUP><SUB>M</SUB>=0.28<SUP>+0.09</SUP><SUB>-0.08</SUB> (1 σ statistical) <SUP>+0.05</SUP><SUB>-0.04</SUB> (identified systematics). The data are strongly inconsistent with a Λ=0 flat cosmology, the simplest inflationary universe model. An open, Λ=0 cosmology also does not fit the data well: the data indicate that the cosmological constant is nonzero and positive, with a confidence of P(Λ〉0)=99%, including the identified systematic uncertainties. The best-fit age of the universe relative to the Hubble time is t<SUP>flat</SUP><SUB>0</SUB>=14.9<SUP>+1.4</SUP><SUB>-1.1</SUB>(0.63/h) Gyr for a flat cosmology. The size of our sample allows us to perform a variety of statistical tests to check for possible systematic errors and biases. We find no significant differences in either the host reddening distribution or Malmquist bias between the low-redshift Calán/Tololo sample and our high-redshift sample. Excluding those few supernovae that are outliers in color excess or fit residual does not significantly change the results. The conclusions are also robust whether or not a width-luminosity relation is used to standardize the supernova peak magnitudes. We discuss and constrain, where possible, hypothetical alternatives to a cosmological constant.",Measurements of Ω and Λ from 42 High-Redshift Supernovae
13,"We present spectral and photometric observations of 10 Type Ia supernovae (SNe Ia) in the redshift range 0.16 〈= z 〈= 0.62. The luminosity distances of these objects are determined by methods that employ relations between SN Ia luminosity and light curve shape. Combined with previous data from our High-z Supernova Search Team and recent results by Riess et al., this expanded set of 16 high-redshift supernovae and a set of 34 nearby supernovae are used to place constraints on the following cosmological parameters: the Hubble constant (H_0), the mass density (Omega_M), the cosmological constant (i.e., the vacuum energy density, Omega_Lambda), the deceleration parameter (q_0), and the dynamical age of the universe (t_0). The distances of the high-redshift SNe Ia are, on average, 10%-15% farther than expected in a low mass density (Omega_M = 0.2) universe without a cosmological constant. Different light curve fitting methods, SN Ia subsamples, and prior constraints unanimously favor eternally expanding models with positive cosmological constant (i.e., Omega_Lambda 〉 0) and a current acceleration of the expansion (i.e., q_0 〈 0). With no prior constraint on mass density other than Omega_M 〉= 0, the spectroscopically confirmed SNe Ia are statistically consistent with q_0 〈 0 at the 2.8 sigma and 3.9 sigma confidence levels, and with Omega_Lambda 〉 0 at the 3.0 sigma and 4.0 sigma confidence levels, for two different fitting methods, respectively. Fixing a ``minimal'' mass density, Omega_M = 0.2, results in the weakest detection, Omega_Lambda 〉 0 at the 3.0 sigma confidence level from one of the two methods. For a flat universe prior (Omega_M + Omega_Lambda = 1), the spectroscopically confirmed SNe Ia require Omega_Lambda 〉 0 at 7 sigma and 9 sigma formal statistical significance for the two different fitting methods. A universe closed by ordinary matter (i.e., Omega_M = 1) is formally ruled out at the 7 sigma to 8 sigma confidence level for the two different fitting methods. We estimate the dynamical age of the universe to be 14.2 +/- 1.7 Gyr including systematic uncertainties in the current Cepheid distance scale. We estimate the likely effect of several sources of systematic error, including progenitor and metallicity evolution, extinction, sample selection bias, local perturbations in the expansion rate, gravitational lensing, and sample contamination. Presently, none of these effects appear to reconcile the data with Omega_Lambda = 0 and q_0 〉= 0.",Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant
14,,Self-interaction correction to density-functional approximations for many-electron systems
15,"In the past, basis sets for use in correlated molecular calculations have largely been taken from single configuration calculations. Recently, Almlรถf, Taylor, and co-workers have found that basis sets of natural orbitals derived from correlated atomic calculations (ANOs) provide an excellent description of molecular correlation effects. We report here a careful study of correlation effects in the oxygen atom, establishing that compact sets of primitive Gaussian functions effectively and efficiently describe correlation effects if the exponents of the functions are optimized in atomic correlated calculations, although the primitive (sp) functions for describing correlation effects can be taken from atomic Hartree-Fock calculations if the appropriate primitive set is used. Test calculations on oxygen-containing molecules indicate that these primitive basis sets describe molecular correlation effects as well as the ANO sets of Almlรถf and Taylor. Guided by the calculations on oxygen, basis sets for use in correlated atomic and molecular calculations were developed for all of the first row atoms from boron through neon and for hydrogen. As in the oxygen atom calculations, it was found that the incremental energy lowerings due to the addition of correlating functions fall into distinct groups. This leads to the concept of correlation consistent basis sets, i.e., sets which include all functions in a given group as well as all functions in any higher groups. Correlation consistent sets are given for all of the atoms considered. The most accurate sets determined in this way, [5s4p3d2f1g], consistently yield 99% of the correlation energy obtained with the corresponding ANO sets, even though the latter contains 50% more primitive functions and twice as many primitive polarization functions. It is estimated that this set yields 94%-97% of the total (HF+1+2) correlation energy for the atoms neon through boron.",Gaussian basis sets for use in correlated molecular calculations. I. The atoms boron through neon and hydrogen
16,"We present ab initio quantum-mechanical molecular-dynamics calculations based on the calculation of the electronic ground state and of the Hellmann-Feynman forces in the local-density approximation at each molecular-dynamics step. This is possible using conjugate-gradient techniques for energy minimization, and predicting the wave functions for new ionic positions using subspace alignment. This approach avoids the instabilities inherent in quantum-mechanical molecular-dynamics calculations for metals based on the use of a fictitious Newtonian dynamics for the electronic degrees of freedom. This method gives perfect control of the adiabaticity and allows us to perform simulations over several picoseconds.",Ab initio molecular dynamics for liquid metals
17,"Current gradient-corrected density-functional approximations for the exchange energies of atomic and molecular systems fail to reproduce the correct 1/r asymptotic behavior of the exchange-energy density. Here we report a gradient-corrected exchange-energy functional with the proper asymptotic limit. Our functional, containing only one parameter, fits the exact Hartree-Fock exchange energies of a wide variety of atomic systems with remarkable accuracy, surpassing the performance of previous functionals containing two parameters or more.",Density-functional exchange-energy approximation with correct asymptotic behavior
18,,Revised effective ionic radii and systematic studies of interatomic distances in halides and chalcogenides
19,"The preparation of a new type of finite carbon structure consisting of needlelike tubes is reported. Produced using an arc-discharge evaporation method similar to that used for fullerene sythesis, the needles grow at the negative end of the electrode used for the arc discharge. Electron microscopy reveals that each needle comprises coaxial tubes of graphitic sheets ranging in number from two up to about 50. On each tube the carbon-atom hexagons are arranged in a helical fashion about the needle axis. The helical pitch varies from needle to needle and from tube to tube within a single needle. It appears that this helical structure may aid the growth process. The formation of these needles, ranging from a few to a few tens of nanometers in diameter, suggests that engineering of carbon structures should be possible on scales considerably greater than those relevant to the fullerenes.",Helical microtubules of graphitic carbon
20,"WMAP precision data enable accurate testing of cosmological models. We find that the emerging standard model of cosmology, a flat Λ-dominated universe seeded by a nearly scale-invariant adiabatic Gaussian fluctuations, fits the WMAP data. For the WMAP data only, the best-fit parameters are h=0.72+/-0.05, Ω<SUB>b</SUB>h<SUP>2</SUP>=0.024+/-0.001, Ω<SUB>m</SUB>h<SUP>2</SUP>=0.14+/-0.02, τ=0.166<SUP>+0.076</SUP><SUB>-0.071</SUB>, n<SUB>s</SUB>=0.99+/-0.04, and σ<SUB>8</SUB>=0.9+/-0.1. With parameters fixed only by WMAP data, we can fit finer scale cosmic microwave background (CMB) measurements and measurements of large-scale structure (galaxy surveys and the Lyα forest). This simple model is also consistent with a host of other astronomical measurements: its inferred age of the universe is consistent with stellar ages, the baryon/photon ratio is consistent with measurements of the [D/H] ratio, and the inferred Hubble constant is consistent with local observations of the expansion rate. We then fit the model parameters to a combination of WMAP data with other finer scale CMB experiments (ACBAR and CBI), 2dFGRS measurements, and Lyα forest data to find the model's best-fit cosmological parameters: h=0.71<SUP>+0.04</SUP><SUB>-0.03</SUB>, Ω<SUB>b</SUB>h<SUP>2</SUP>=0.0224+/-0.0009, Ω<SUB>m</SUB>h<SUP>2</SUP>=0.135<SUP>+0.008</SUP><SUB>-0.009</SUB>, τ=0.17+/-0.06, n<SUB>s</SUB>(0.05 Mpc<SUP>-1</SUP>)=0.93+/-0.03, and σ<SUB>8</SUB>=0.84+/-0.04. WMAP's best determination of τ=0.17+/-0.04 arises directly from the temperature-polarization (TE) data and not from this model fit, but they are consistent. These parameters imply that the age of the universe is 13.7+/-0.2 Gyr. With the Lyα forest data, the model favors but does not require a slowly varying spectral index. The significance of this running index is sensitive to the uncertainties in the Lyα forest. By combining WMAP data with other astronomical data, we constrain the geometry of the universe, Ω<SUB>tot</SUB>=1.02+/-0.02, and the equation of state of the dark energy, w〈-0.78 (95% confidence limit assuming w〉=-1). The combination of WMAP and 2dFGRS data constrains the energy density in stable neutrinos: Ω<SUB>ν</SUB>h<SUP>2</SUP>〈0.0072 (95% confidence limit). For three degenerate neutrino species, this limit implies that their mass is less than 0.23 eV (95% confidence limit). The WMAP detection of early reionization rules out warm dark matter. WMAP is the result of a partnership between Princeton University and the NASA Goddard Space Flight Center. Scientific guidance is provided by the WMAP Science Team.",First-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations: Determination of Cosmological Parameters
21,"A new approach to the construction of first-principles pseudopotentials is described. The method allows transferability to be improved systematically while holding the cutoff radius fixed, even for large cutoff radii. Novel features are that the pseudopotential itself becomes charge-state dependent, the usual norm-conservation constraint does not apply, and a generalized eigenproblem is introduced. The potentials have a separable form well suited for plane-wave solid-state calculations, and show promise for application to first-row and transition-metal systems.",Soft self-consistent pseudopotentials in a generalized eigenvalue formalism
22,"This article reviews the basic theoretical aspects of graphene, a one-atom-thick allotrope of carbon, with unusual two-dimensional Dirac-like electronic excitations. The Dirac electrons can be controlled by application of external electric and magnetic fields, or by altering sample geometry and/or topology. The Dirac electrons behave in unusual ways in tunneling, confinement, and the integer quantum Hall effect. The electronic properties of graphene stacks are discussed and vary with stacking order and number of layers. Edge (surface) states in graphene depend on the edge termination (zigzag or armchair) and affect the physical properties of nanoribbons. Different types of disorder modify the Dirac equation leading to unusual spectroscopic and transport properties. The effects of electron-electron and electron-phonon interactions in single layer and multilayer graphene are also presented.",The electronic properties of graphene
23,"Recently, it has been proposed by Maldacena that large $N$ limits of certain conformal field theories in $d$ dimensions can be described in terms of supergravity (and string theory) on the product of $d+1$-dimensional $AdS$ space with a compact manifold. Here we elaborate on this idea and propose a precise correspondence between conformal field theory observables and those of supergravity: correlation functions in conformal field theory are given by the dependence of the supergravity action on the asymptotic behavior at infinity. In particular, dimensions of operators in conformal field theory are given by masses of particles in supergravity. As quantitative confirmation of this correspondence, we note that the Kaluza-Klein modes of Type IIB supergravity on $AdS_5\times {\bf S}^5$ match with the chiral operators of $\N=4$ super Yang-Mills theory in four dimensions. With some further assumptions, one can deduce a Hamiltonian version of the correspondence and show that the $\N=4$ theory has a large $N$ phase transition related to the thermodynamics of $AdS$ black holes.",Anti-de Sitter space and holography
24,"We propose a simple analytic representation of the correlation energy ∊<SUB>c</SUB> for a uniform electron gas, as a function of density parameter r<SUB>s</SUB> and relative spin polarization ζ. Within the random-phase approximation (RPA), this representation allows for the r<SUP>-3/4</SUP><SUB>s</SUB> behavior as r<SUB>s</SUB>--〉∞. Close agreement with numerical RPA values for ∊<SUB>c</SUB>(r<SUB>s</SUB>,0), ∊<SUB>c</SUB>(r<SUB>s</SUB>,1), and the spin stiffness α<SUB>c</SUB>(r<SUB>s</SUB>)=∂<SUP>2</SUP>∊<SUB>c</SUB>(r<SUB>s</SUB>, ζ=0)/δζ<SUP>2</SUP>, and recovery of the correct r<SUB>s</SUB>lnr<SUB>s</SUB> term for r<SUB>s</SUB>--〉0, indicate the appropriateness of the chosen analytic form. Beyond RPA, different parameters for the same analytic form are found by fitting to the Green's-function Monte Carlo data of Ceperley and Alder [Phys. Rev. Lett. 45, 566 (1980)], taking into account data uncertainties that have been ignored in earlier fits by Vosko, Wilk, and Nusair (VWN) [Can. J. Phys. 58, 1200 (1980)] or by Perdew and Zunger (PZ) [Phys. Rev. B 23, 5048 (1981)]. While we confirm the practical accuracy of the VWN and PZ representations, we eliminate some minor problems with these forms. We study the ζ-dependent coefficients in the high- and low-density expansions, and the r<SUB>s</SUB>-dependent spin susceptibility. We also present a conjecture for the exact low-density limit. The correlation potential μ<SUP>σ</SUP><SUB>c</SUB>(r<SUB>s</SUB>,ζ) is evaluated for use in self-consistent density-functional calculations.",Accurate and simple analytic representation of the electron-gas correlation energy
25,"We show that the large N limit of certain conformal field theories in various dimensions include in their Hilbert space a sector describing supergravity on the product of Anti-deSitter spacetimes, spheres and other compact manifolds. This is shown by taking some branes in the full M/string theory and then taking a low energy limit where the field theory on the brane decouples from the bulk. We observe that, in this limit, we can still trust the near horizon geometry for large N. The enhanced supersymmetries of the near horizon geometry correspond to the extra supersymmetry generators present in the superconformal group (as opposed to just the super-Poincare group). The 't Hooft limit of 4-d N =4 super-Yang-Mills at the conformal point is shown to contain strings: they are IIB strings. We conjecture that compactifications of M/string theory on various Anti-deSitter spacetimes are dual to various conformal field theories. This leads to a new proposal for a definition of M-theory which could be extended to include five non-compact dimensions.",The Large N Limit of Superconformal Field Theories and Supergravity
26,"Summary. The outward transfer of the angular momentum of the accreting matter leads to the formation of a disk around the black hole. The structure and radiation spectrum of the disk depend, mainly on the rate of matter inflow A into the disk at its external boundary The dependence on the efficiency of mechanisms of angular momentum transport (connected with the magnetic field and turbulence) is weaker. If A = 1O- 3.1O-8 M0 the disk around the black hole is a year powerful source of X-ray radiation with hv 1- 10 keV and luminosity L 1O - 1038 erg/s. If the flux of the accreting matter decreases, the effective temperature of the radiation and the luminosity will drop. On the other hand, when M ă 1O- M0 the optical luminosity year of the disk exceeds the solar value. The main contribution to the optical luminosity of the black hole arises from reradiation of that part of the X-ray and ultra-violet energy which is initially produced in the central high temperature regions of the disk and which is then absorbed by the low temperature outer regions. saturated by broad recombination and resonance emission lines. Variability, connected with the character of the motion of the black hole, with gas flows in a binary system and with eclipses, is possible. Under certain conditions, the hard radiation can evaporate the gas. This can counteract the matter inflow into the disk and lead to autoregulation of the accretion. If M 3. 10-8M0 the luminosity of the disk around year the black hole is stabilized at the critical level of L 1038 M erg A small fraction of the accreting M0 s matter falls under the gravitational radius whereas the major part of it flows out with high velocity from the central regions of the disk. The outfiowing matter is opaque to the disk radiation and completely transforms its spectrum. In consequence, at the supercritical regime of accretion the black hole may appear as a bright, hot, optical star with a strong outflow of matter Key words: black holes - binary systems - X-ray sources - accretion The optical radiation spectrum of such objects must be",Black holes in binary systems. Observational appearance.
27,"Graphene is a rapidly rising star on the horizon of materials science and condensed-matter physics. This strictly two-dimensional material exhibits exceptionally high crystal and electronic quality, and, despite its short history, has already revealed a cornucopia of new physics and potential applications, which are briefly discussed here. Whereas one can be certain of the realness of applications only when commercial products appear, graphene no longer requires any further proof of its importance in terms of fundamental physics. Owing to its unusual electronic spectrum, graphene has led to the emergence of a new paradigm of 'relativistic' condensed-matter physics, where quantum relativistic phenomena, some of which are unobservable in high-energy physics, can now be mimicked and tested in table-top experiments. More generally, graphene represents a conceptually new class of materials that are only one atom thick, and, on this basis, offers new inroads into low-dimensional physics that has never ceased to surprise and continues to provide a fertile ground for applications.",The rise of graphene
28,"A general method, suitable for fast computing machines, for investigating such properties as equations of state for substances consisting of interacting individual molecules is described. The method consists of a modified Monte Carlo integration over configuration space. Results for the two-dimensional rigid-sphere system have been obtained on the Los Alamos MANIAC and are presented here. These results are compared to the free volume equation of state and to a four-term virial coefficient expansion.",Equation of State Calculations by Fast Computing Machines
29,"The NCEP and NCAR are cooperating in a project (denoted ""reanalysis"") to produce a 40-year record of global analyses of atmospheric fields in support of the needs of the research and climate monitoring communities. This effort involves the recovery of land surface, ship, rawinsonde, pibal, aircraft, satellite, and other data; quality controlling and assimilating these data with a data assimilation system that is kept unchanged over the reanalysis period 1957-96. This eliminates perceived climate jumps associated with changes in the data assimilation system.The NCEP/NCAR 40-yr reanalysis uses a frozen state-of-the-art global data assimilation system and a database as complete as possible. The data assimilation and the model used are identical to the global system implemented operationally at the NCEP on 11 January 1995, except that the horizontal resolution is T62 (about 210 km). The database has been enhanced with many sources of observations not available in real time for operations, provided by different countries and organizations. The system has been designed with advanced quality control and monitoring components, and can produce 1 mon of reanalysis per day on a Cray YMP/8 supercomputer. Different types of output archives are being created to satisfy different user needs, including a ""quick look"" CD-ROM (one per year) with six tropospheric and stratospheric fields available twice daily, as well as surface, top-of-the-atmosphere, and isentropic fields. Reanalysis information and selected output is also available on-line via the Internet (http//:nic.fb4.noaa.gov:8000). A special CD-ROM, containing 13 years of selected observed, daily, monthly, and climatological data from the NCEP/NCAR Re-analysis, is included with this issue. Output variables are classified into four classes, depending on the degree to which they are influenced by the observations and/or the model. For example, ""C"" variables (such as precipitation and surface fluxes) are completely determined by the model during the data assimilation and should be used with caution. Nevertheless, a comparison of these variables with observations and with several climatologies shows that they generally contain considerable useful information. Eight-day forecasts, produced every 5 days, should be useful for predictability studies and for monitoring the quality of the observing systems.The 40 years of reanalysis (1957-96) should be completed in early 1997. A continuation into the future through an identical Climate Data Assimilation System will allow researchers to reliably compare recent anomalies with those in earlier decades. Since changes in the observing systems will inevitably produce perceived changes in the climate, parallel reanalyses (at least 1 year long) will be generated for the periods immediately after the introduction of new observing systems, such as new types of satellite data.NCEP plans currently call for an updated reanalysis using a state-of-the-art system every five years or so. The successive reanalyses will be greatly facilitated by the generation of the comprehensive database in the present reanalysis.",The NCEP/NCAR 40-Year Reanalysis Project.
30,"An exact stochastic simulation of the Schroedinger equation for charged bosons and fermions has been used to calculate the correlation energies, to locate the transitions to their respective crystal phases at zero temperature within 10%, and to establish the stability at intermediate densities of a ferromagnetic fluid of electrons.",Ground State of the Electron Gas by a Stochastic Method
31,"We present a simple procedure to generate first-principles norm-conserving pseudopotentials, which are designed to be smooth and therefore save computational resources when used with a plane-wave basis. We found that these pseudopotentials are extremely efficient for the cases where the plane-wave expansion has a slow convergence, in particular, for systems containing first-row elements, transition metals, and rare-earth elements. The wide applicability of the pseudopotentials are exemplified with plane-wave calculations for copper, zinc blende, diamond, Îą-quartz, rutile, and cerium.",Efficient pseudopotentials for plane-wave calculations
32,"New abundance tables have been compiled for Cl chondrites and the solar photosphere and corona, based on a critical review of the literature to mid-1988. The meteorite data are generally accurate to ± 5-10%. Significant discrepancies between Sun and meteorites occur only for Fe, Mn, Ge, Pb, and W; other well-determined elements agree to ±9% on the average. There is no evidence for group fractionations in Cl chondrites of cosmochemically similar elements (refractories, siderophiles, volatiles, etc.), but a selective fractionation of Fe cannot be ruled out. Abundances of odd- A nuclides between A = 65 and 209 show a generally smooth trend, with elemental abundances conforming to the slope defined by isotopic abundances. Significant irregularities occur in the NdSmEu region, however, suggesting that the abundance curve is dependably smooth only down to the ̃20% level.",Abundances of the elements: Meteoritic and solar
